dish_name,countries_of_origin,ingredients
Palaver Sauce,"['Ghana', 'Liberia', 'Nigeria', 'Sierra Leone']","['chili_pepper', 'fish', 'spinach', 'onion', 'leafy_green', 'kale', 'salt', 'tomato', 'oil', 'shrimp', 'pepper', 'palm_oil', 'seasoning', 'chili', 'meat']"
Bananas Foster,['United States'],"['vanilla_ice_cream', 'vanilla', 'cinnamon', 'brown_sugar', 'dark_rum', 'banana_liqueur', 'cream', 'rum', 'sugar', 'banana', 'butter', 'liqueur', 'ice']"
Spaghetti Aglio E Olio,['Italy'],"['black_pepper', 'cheese', 'garlic', 'spaghetti', 'olive_oil', 'parsley', 'salt', 'red_pepper_flake', 'pepper', 'olive', 'parmesan_cheese', 'oil']"
Sundubu-jjigae,"['North Korea', 'South Korea']","['mushroom', 'onion', 'garlic', 'soy_sauce', 'seafood', 'tofu', 'gochujang', 'pork', 'zucchini', 'gochugaru', 'egg', 'soft_tofu', 'kimchi', 'spring_onion', 'sesame_oil', 'salt', 'pepper', 'oil', 'beef']"
Bombe Glacée,['France'],"['meringue', 'fresh_fruit', 'chocolate', 'nut', 'sorbet', 'candied_fruit', 'cream', 'ice_cream', 'sponge_cake', 'fruit', 'fruit_puree', 'liqueur', 'whipped_cream', 'chocolate_sauce', 'ice']"
Katsu-sando,['Japan'],"['milk', 'pork_cutlet', 'milk_bread', 'tonkatsu_sauce', 'cabbage', 'pork', 'bread', 'mayonnaise']"
Christmas Pudding,['United Kingdom'],"['bread_crumb', 'spice', 'suet', 'mixed_peel', 'citru_zest', 'milk', 'nut', 'stout', 'flour', 'treacle', 'fruit', 'cider', 'sugar', 'butter', 'dried_fruit', 'bread', 'brandy', 'egg']"
Gimbap,['South Korea'],"['seaweed', 'fish', 'cooked_rice', 'vegetable', 'rice', 'meat']"
Sevai,['India'],"['coconut', 'green_chili', 'chana_dal', 'coriander', 'chili', 'grated_coconut', 'turmeric_powder', 'urad_dal', 'mustard', 'curry_leaf', 'water', 'noodle', 'lemon_juice', 'mustard_seed', 'coriander_leaf', 'rice', 'lemon', 'turmeric', 'rice_noodle', 'salt', 'oil']"
Steak Tartare,['France'],"['caper', 'beef', 'egg_yolk', 'worcestershire_sauce', 'onion', 'olive_oil', 'parsley', 'mustard', 'salt', 'pepper', 'cornichon', 'raw_beef', 'olive', 'oil', 'hot_sauce', 'egg']"
Fairy Bread,"['New Zealand', 'Australia']","['honey', 'white_bread', 'sprinkle', 'butter', 'bread', 'margarine']"
Chikhirtma,['Georgia'],"['saffron', 'vinegar', 'black_pepper', 'chicken', 'water', 'flour', 'onion', 'garlic', 'cilantro', 'parsley', 'salt', 'pepper', 'egg', 'bay_leaf']"
Bsisa,"['Libya', 'Tunisia', 'Algeria']","['anise_seed', 'fenugreek_seed', 'wheat', 'barley_flour', 'coriander_seed', 'flour', 'honey', 'olive_oil', 'almond', 'hazelnut', 'coriander', 'fenugreek', 'caraway_seed', 'olive', 'wheat_flour', 'barley', 'oil', 'date']"
Shwe Yin Aye,['Myanmar'],"['condensed_milk', 'milk', 'coconut', 'agar_jelly', 'pandan_leaf', 'jelly', 'rose_syrup', 'sago_pearl', 'ice_cream', 'sugar', 'bread', 'syrup', 'water', 'sago', 'cream', 'rice', 'ice', 'sticky_rice', 'coconut_milk']"
Platinum Pudding,['United Kingdom'],"['gelatin', 'flour', 'butter', 'biscuit', 'berry', 'amaretti_biscuit', 'sugar', 'jam', 'whipped_cream', 'orange', 'vanilla', 'white_chocolate', 'chocolate', 'cream', 'fresh_berry', 'strawberry', 'egg', 'mandarin_orange', 'lemon', 'edible_flower', 'vanilla_extract', 'strawberry_jam']"
Bánh Bò,['Vietnam'],"['tapioca_flour', 'yeast', 'milk', 'flour', 'coconut', 'sugar', 'rice', 'coconut_milk', 'rice_flour']"
Khash,"['Oman', 'Armenia', 'Greece', 'Georgia', 'Bulgaria', 'Bahrain', 'Mongolia', 'Palestine', 'Qatar', 'Azerbaijan', 'Bosnia and Herzegovina', 'Afghanistan', 'United Arab Emirates', 'Iraq', 'Israel', 'North Macedonia', 'Albania', 'Iran', 'Turkey', 'Kuwait', 'Saudi Arabia']","['cow_head', 'black_pepper', 'cow', 'cow_stomach', 'onion', 'garlic', 'turmeric', 'salt', 'cow_foot', 'pepper', 'water']"
Joffre Cake,['Romania'],"['gelatin', 'vanilla', 'chocolate', 'coffee', 'milk', 'nut', 'cream', 'flour', 'rum', 'cocoa_powder', 'water', 'sugar', 'heavy_cream', 'butter', 'vanilla_extract', 'baking_powder', 'egg']"
Mie Ayam,['Indonesia'],"['mushroom', 'onion', 'garlic', 'soy_sauce', 'broth', 'oyster', 'oyster_sauce', 'fried_shallot', 'noodle', 'green_onion', 'bok_choy', 'sambal', 'chicken', 'chicken_broth', 'shallot', 'sesame_oil', 'salt', 'pepper', 'oil']"
Yakisoba-pan,['Japan'],"['yakisoba_noodle', 'noodle', 'bun', 'hot_dog_bun']"
Ryynimakkara,['Finland'],"['black_pepper', 'blood', 'onion', 'garlic', 'pork_blood', 'barley_groat', 'salt', 'barley', 'pork', 'pepper', 'marjoram', 'allspice']"
Kalehjoosh,"['Kyrgyzstan', 'Armenia', 'Uzbekistan', 'Azerbaijan', 'Tajikistan', 'Kazakhstan', 'Iran', 'Turkmenistan', 'Turkey']","['walnut', 'onion', 'dried_herb', 'mint', 'garlic', 'turmeric', 'salt', 'butter', 'bread', 'pepper', 'herb', 'kashk', 'oil', 'water']"
Kalari Cheese,['India'],"['goat', 'milk', 'cow', 'salt', 'goat_milk', 'vinegar', 'lime_juice', 'lime', 'water']"
Cola De Mono,['Chile'],"['condensed_milk', 'coffee', 'vanilla', 'cinnamon', 'milk', 'sugar', 'nutmeg', 'clove', 'evaporated_milk', 'aguardiente']"
Hodu-gwaja,['South Korea'],"['red_bean_paste', 'vanilla', 'walnut', 'wheat', 'milk', 'flour', 'sugar', 'salt', 'vanilla_extract', 'wheat_flour', 'baking_powder', 'bean', 'egg']"
Tahdig,['Iran'],"['saffron', 'yogurt', 'rice', 'potato', 'salt', 'oil']"
Mealie Bread,"['Eswatini', 'South Africa']","['cream_style_corn', 'milk', 'vegetable', 'cream', 'flour', 'vegetable_oil', 'water', 'sugar', 'corn', 'salt', 'butter', 'maize_meal', 'baking_powder', 'oil', 'egg']"
Babka,"['Poland', 'Israel', 'Ukraine']","['yeast', 'chocolate', 'nut', 'milk', 'flour', 'sugar', 'salt', 'butter', 'egg']"
Fruktsoppa,"['Sweden', 'Norway']","['lemon_juice', 'cinnamon', 'tapioca', 'berry', 'fruit', 'lemon', 'sugar', 'cardamom', 'apple', 'apple_juice', 'dried_fruit', 'raisin', 'water']"
Mechouia Salad,['Tunisia'],"['tuna', 'chili_pepper', 'caper', 'lemon_juice', 'lemon', 'onion', 'garlic', 'olive_oil', 'bell_pepper', 'tomato', 'oil', 'pepper', 'olive', 'chili', 'egg', 'caraway_seed']"
Babi Hong,['Indonesia'],"['spice', 'wine', 'pork_belly', 'shaoxing_wine', 'mushroom', 'garlic', 'five_spice_powder', 'sugar', 'three_type_of_soy_sauce_regular_soy_sauce', 'ginger', 'star_anise', 'kecap_mani', 'oyster', 'kecap_jamur', 'pork', 'oyster_sauce']"
Qingtuan,['China'],"['glutinou_rice_flour', 'wheat', 'wheat_starch', 'barley_gras_juice', 'mugwort', 'flour', 'starch', 'jujube', 'red_bean_paste_sesame_paste', 'rice', 'barley', 'dried_meat', 'jujube_paste', 'bean', 'meat']"
Baghaar-e-baingan,['India'],"['dry_red_chili', 'coconut', 'onion', 'garlic', 'coriander', 'chili', 'cumin_seed', 'sesame_seed', 'turmeric_powder', 'cilantro', 'coriander_powder', 'ginger', 'mustard', 'tamarind', 'cumin', 'curry_leaf', 'desiccated_coconut', 'eggplant', 'red_chili_powder', 'mustard_seed', 'peanut', 'jaggery', 'turmeric', 'salt', 'oil']"
Picarón,"['Peru', 'Chile']","['yeast', 'cinnamon', 'flour', 'honey', 'pumpkin', 'sweet_potato', 'sugar', 'aniseed', 'potato', 'syrup', 'clove', 'oil', 'egg']"
Pan De Queso,['Colombia'],"['milk', 'tapioca_starch', 'starch', 'sugar', 'salt', 'butter', 'cheese', 'baking_powder', 'egg']"
Tocană,['Romania'],"['onion', 'garlic', 'bell_pepper', 'salt', 'tomato', 'paprika', 'pork', 'pepper']"
Croissant,"['Austria', 'France']","['dough', 'butter']"
Torta de Vino,['Colombia'],"['wine', 'sweet_red_wine', 'prune', 'flour', 'butter', 'sugar', 'almond', 'nutmeg', 'syrup', 'ground_cinnamon', 'molass', 'vanilla', 'cinnamon', 'candied_fruit', 'coffee', 'ground_clove', 'burnt_sugar_syrup', 'ground_nutmeg', 'raisin', 'clove', 'all_purpose_flour', 'egg', 'walnut', 'rum', 'fruit', 'brewed_coffee', 'vanilla_extract', 'baking_powder']"
Berner Platte,['Switzerland'],"['onion', 'garlic', 'potato', 'green_bean', 'pickle', 'berry', 'mustard', 'bean', 'pork_belly', 'ham', 'bacon', 'sausage', 'sauerkraut', 'leek', 'juniper_berry', 'pork', 'bay_leaf', 'clove', 'carrot', 'smoked_bacon', 'dried_bean', 'beef']"
Qarymutah,['Syria'],"['lemon_juice', 'sumac', 'cucumber', 'lemon', 'onion', 'mint', 'bulgur', 'parsley', 'tomato']"
Semur,['Indonesia'],"['lemon_gras', 'coconut', 'garlic', 'coconut_sugar', 'soy_sauce', 'sugar', 'nutmeg', 'water', 'cinnamon', 'star_anise', 'bay_leaf', 'clove', 'lemon', 'kecap_mani', 'shallot', 'salt', 'pepper', 'sweet_soy_sauce', 'beef']"
Ayam Kecap,['Indonesia'],"['lemon_gras', 'garlic', 'potato', 'coriander', 'soy_sauce', 'chili', 'scallion', 'ginger', 'oyster', 'tomato', 'nutmeg', 'oyster_sauce', 'water', 'cinnamon', 'sweet_soy_sauce', 'lime_leaf', 'oil', 'cinnamon_stick', 'carrot', 'cooking_oil', 'chicken', 'honey', 'lemon', 'shallot', 'salt', 'pepper', 'lime']"
So-tteok-so-tteok,['South Korea'],"['sesame_seed', 'honey', 'onion', 'garlic', 'sausage', 'rice_cake', 'green_onion', 'rice', 'gochujang', 'sugar', 'sesame_oil', 'ketchup', 'soy_sauce', 'oil']"
Bionico,['Mexico'],"['yogurt', 'milk', 'coconut', 'honey', 'coconut_flake', 'strawberry', 'granola', 'cantaloupe', 'papaya', 'apple', 'banana', 'sweetened_condensed_milk', 'raisin', 'pecan']"
Doughnut,['United States'],['fried_dough']
Mote De Queso,['Colombia'],"['milk', 'coconut', 'garlic', 'onion', 'cilantro', 'tortilla', 'yam', 'corn', 'corn_tortilla', 'butter', 'tomato', 'cumin', 'coconut_milk', 'cheese', 'lime_juice', 'lime', 'water']"
Dabeli,['India'],"['pomgranate_seed', 'bun', 'garlic_chutney', 'garlic', 'potato', 'dabeli_masala', 'tamarind_chutney', 'fresh_coriander_leaf', 'butter', 'tamarind', 'pav_bun', 'peanut', 'sev', 'coriander', 'roasted_peanut']"
Sándwich de bondiola,"['Brazil', 'Uruguay', 'Argentina']","['avocado', 'bun', 'lettuce', 'sandwich_bun', 'pickle', 'onion', 'chimichurri', 'mustard', 'tomato', 'bondiola', 'cheese', 'hot_sauce', 'mayonnaise']"
Suikerboon,"['Belgium', 'Netherlands', 'France']","['gelatin', 'starch', 'food_coloring', 'almond', 'sugar', 'corn', 'coloring', 'corn_starch', 'water']"
Halal Snack Pack,['Australia'],"['hot_chip', 'barbecue_sauce', 'garlic', 'hummu', 'chili_sauce', 'garlic_sauce', 'cheese', 'doner_kebab_meat', 'chili', 'tabbouleh', 'meat']"
Jhunka,['India'],"['chickpea', 'flour', 'green_chili', 'onion', 'garlic', 'coriander', 'chili', 'chickpea_flour', 'cumin_seed', 'turmeric_powder', 'ginger', 'mustard', 'tomato', 'cumin', 'curry_leaf', 'lime_juice', 'water', 'red_chili_powder', 'mustard_seed', 'coriander_leaf', 'oil', 'asafoetida', 'turmeric', 'salt', 'lime']"
Sukiyaki,['Japan'],"['mushroom', 'onion', 'chinese_cabbage', 'soy_sauce', 'mirin', 'sugar', 'cabbage', 'tofu', 'noodle', 'udon_noodle', 'shirataki_noodle', 'green_onion', 'enoki_mushroom', 'egg', 'sake', 'raw_egg', 'thinly_sliced_beef', 'shiitake_mushroom', 'beef']"
Pie Floater,['Australia'],"['tomato_sauce', 'pea_soup', 'pea', 'mint', 'tomato', 'pie', 'vinegar', 'mint_sauce']"
Japanese Slipper,['Australia'],"['lemon_juice', 'melon_liqueur', 'orange_liqueur', 'lemon', 'lemon_wheel', 'liqueur', 'maraschino_cherry', 'cherry', 'orange']"
Trenton Tomato Pie,['United States'],"['mozzarella_cheese', 'cheese', 'oregano', 'pizza_dough', 'garlic', 'olive_oil', 'pepper', 'tomato', 'red_pepper_flake', 'basil', 'mozzarella', 'olive', 'oil', 'parmesan_cheese', 'anchovy']"
Insalata Di Riso,['Italy'],"['tuna', 'pea', 'onion', 'black_olive', 'green_bean', 'black_pepper', 'pickle', 'bell_pepper', 'tomato', 'vinegar', 'bean', 'cherry', 'cherry_tomato', 'ham', 'cucumber', 'rice', 'corn', 'parsley', 'cheese', 'olive', 'carrot', 'egg', 'caper', 'lemon', 'olive_oil', 'salt', 'artichoke', 'basil', 'pepper', 'oil']"
Chargha,['Pakistan'],"['garam_masala', 'garlic', 'coriander', 'chili', 'black_pepper', 'turmeric_powder', 'ginger_paste', 'garlic_paste', 'food_coloring', 'coriander_powder', 'ginger', 'cumin', 'saffron', 'lemon_juice', 'cumin_powder', 'red_chili_powder', 'chicken', 'yogurt', 'chaat_masala', 'lemon', 'turmeric', 'salt', 'coloring', 'pepper', 'oil']"
Kuih Kosui,"['Indonesia', 'Malaysia', 'Singapore']","['tapioca_flour', 'brown_sugar', 'flour', 'coconut', 'pandan_juice', 'sugar', 'rice', 'rice_flour', 'water', 'grated_coconut']"
Mofongo,"['Puerto Rico', 'Dominican Republic']","['crab', 'chicken', 'broth', 'plantain', 'garlic', 'chicken_broth', 'olive_oil', 'crab_meat', 'salt', 'green_plantain', 'shrimp', 'pork', 'olive', 'meat', 'oil', 'pork_crackling']"
Wat,"['Eritrea', 'Ethiopia']","['berbere_spice', 'sometime_lentil', 'spice', 'chicken', 'vegetable', 'vegetable_oil', 'onion', 'garlic', 'lentil', 'ginger', 'salt', 'tomato', 'pepper', 'berbere', 'oil', 'beef', 'meat']"
Sabich,['Israel'],"['pickle', 'onion', 'hummu', 'potato', 'pita_bread', 'amba', 'salad', 'parsley', 'eggplant', 'bread', 'tahini', 'hot_sauce', 'egg']"
Kabab Koobideh,['Iran'],"['saffron', 'black_pepper', 'ground_beef', 'sumac', 'onion', 'garlic', 'lamb', 'ground_lamb', 'turmeric', 'parsley', 'salt', 'pepper', 'beef']"
Tortang Talong,['Philippines'],"['garlic', 'salt', 'pepper', 'eggplant', 'oil', 'egg']"
Acıbadem Kurabiyesi,['Turkey'],"['egg_white', 'vanilla', 'lemon', 'sugar', 'almond', 'lemon_zest', 'egg']"
Chivito,['Uruguay'],"['lettuce', 'red_pepper', 'mushroom', 'pea', 'onion', 'garlic', 'mozzarella', 'green_pea', 'mayonnaise', 'mozzarella_cheese', 'pickle', 'tomato', 'bread', 'beef_steak', 'ham', 'bacon', 'cheese', 'olive', 'egg', 'pepper', 'beef']"
Steak And Eggs,"['Australia', 'United States', 'Canada']","['black_pepper', 'beef', 'mushroom', 'onion', 'garlic', 'potato', 'salt', 'butter', 'toast', 'pepper', 'herb', 'oil', 'egg', 'beef_steak']"
Judd Mat Gaardebounen,['Luxembourg'],"['savory', 'cream', 'smoked_collar_of_pork', 'bacon', 'onion', 'broad_bean', 'potato', 'mustard', 'parsley', 'pork', 'bean']"
Conch Fritter,['Bahamas'],"['celery', 'milk', 'conch', 'vegetable', 'vegetable_oil', 'flour', 'garlic', 'onion', 'bell_pepper', 'salt', 'oil', 'pepper', 'baking_powder', 'hot_sauce', 'egg']"
Oscypek,['Poland'],"['rennet', 'milk', 'salt', 'sheep_milk']"
Puto Bumbong,['Philippines'],"['banana_leaf', 'condensed_milk', 'milk', 'brown_sugar', 'coconut', 'sugar', 'glutinou_rice', 'rice', 'coloring', 'butter', 'banana', 'purple_food_coloring', 'cheese', 'margarine', 'grated_cheese']"
Mianwo,['China'],"['yeast', 'mung_bean_flour', 'sesame_seed', 'flour', 'onion', 'sugar', 'green_onion', 'rice', 'salt', 'oil', 'rice_flour', 'bean', 'baking_powder', 'water']"
Oyster Stew,['United States'],"['milk', 'flour', 'onion', 'oyster', 'salt', 'butter', 'pepper']"
Chả Giò,['Vietnam'],"['lettuce', 'mushroom', 'onion', 'garlic', 'pepper', 'shrimp', 'rice_vermicelli', 'vegetable', 'sugar', 'ground_pork', 'fish_sauce', 'jicama', 'wood_ear_mushroom', 'fish', 'green_onion', 'rice', 'pork', 'herb', 'carrot', 'vegetable_oil', 'rice_paper', 'oil']"
Hornazo,['Spain'],"['white_wine', 'wine', 'yeast', 'chorizo', 'water', 'ham', 'flour', 'hard_boiled_egg', 'lard', 'olive_oil', 'salt', 'butter', 'paprika', 'pork', 'olive', 'oil', 'egg', 'pork_loin']"
Num Pang,['Cambodia'],"['lemon_gras', 'garlic', 'daikon', 'pickled_carrot', 'soy_sauce', 'chili', 'mayonnaise', 'baguette', 'cilantro', 'sugar', 'pickled_daikon', 'fish_sauce', 'fish', 'cucumber', 'chili_sauce', 'pate', 'pork', 'carrot', 'lemon']"
Cachupa,['Cape Verde'],"['cassava', 'sausage', 'onion', 'pumpkin', 'garlic', 'potato', 'corn', 'sweet_potato', 'cabbage', 'tomato', 'pork', 'bean']"
Guthuk,['China'],"['baking_soda', 'beef', 'flour', 'radish', 'mustard_seed', 'sausage', 'garlic', 'onion', 'dried_cheese_curd', 'green_onion', 'ginger', 'mustard', 'oil', 'cheese', 'chili', 'water']"
Chunlā,['Nepal'],"['green_chili', 'garlic', 'coriander', 'chili', 'fennel', 'coriander_powder', 'ginger', 'mustard_oil', 'mustard', 'cumin', 'fennel_seed', 'sichuan_pepper', 'lemon_juice', 'cumin_powder', 'red_chili_powder', 'buffalo_meat', 'meat', 'lemon', 'turmeric', 'salt', 'pepper', 'oil']"
Douzhi,['China'],"['chili_oil', 'fermented_bean_curd', 'mung_bean', 'mustard', 'chili', 'preserved_mustard_green', 'bean', 'oil', 'water']"
Cretons,['Canada'],"['bread_crumb', 'cinnamon', 'milk', 'onion', 'parsley', 'bread', 'pork', 'savory', 'clove']"
Prinskorv,['Sweden'],"['white_pepper', 'milk', 'starch', 'onion', 'cardamom', 'potato', 'preservative', 'potato_starch', 'sugar', 'ginger', 'nutmeg', 'bacon', 'pork', 'natural_casing', 'allspice', 'milk_powder', 'salt', 'pepper', 'beef']"
10 Won Bread,['South Korea'],"['egg', 'yeast', 'sesame_seed', 'milk', 'flour', 'sugar', 'salt', 'butter', 'water']"
Sushi,['Japan'],"['seaweed', 'fish', 'nori', 'vinegared_rice', 'variou_fish', 'rice', 'seafood', 'egg']"
Gaisburger Marsch,['Germany'],"['vinegar', 'broth', 'spaetzle', 'onion', 'potato', 'salt', 'pepper', 'beef']"
Siş köfte,['Turkey'],"['black_pepper', 'ground_beef', 'sumac', 'onion', 'garlic', 'mint', 'lamb', 'ground_lamb', 'olive_oil', 'parsley', 'salt', 'cumin', 'red_pepper_flake', 'paprika', 'pepper', 'olive', 'oil', 'beef']"
Tteokguk,"['North Korea', 'South Korea']","['seaweed', 'mandu', 'sliced_beef', 'beef_broth', 'broth', 'beef', 'onion', 'rice_cake', 'garlic', 'kimchi', 'green_onion', 'rice', 'sesame_oil', 'soy_sauce', 'oil', 'egg']"
Farsu Magru,['Italy'],"['white_wine', 'wine', 'onion', 'garlic', 'hard_boiled_egg', 'celery', 'broth', 'nut', 'tomato', 'pancetta', 'bread', 'pignoli_nut', 'red_wine', 'caciocavallo_cheese', 'ham', 'tomato_paste', 'parsley', 'bay_leaf', 'raisin', 'olive', 'cheese', 'carrot', 'egg', 'bread_crumb', 'chicken', 'chicken_broth', 'olive_oil', 'salt', 'pepper', 'parmesan_cheese', 'oil', 'beef']"
Twelve Grapes,['Spain'],['12_grape']
Kutya,"['Belarus', 'Poland', 'Lithuania', 'Russia', 'Ukraine']","['wheat', 'milk', 'nut', 'cream', 'berry', 'water', 'honey', 'fruit', 'sugar', 'poppy_seed', 'dried_fruit', 'raisin', 'wheat_berry']"
Ogura Toast,['Japan'],"['red_bean_paste', 'condensed_milk', 'milk', 'cream', 'sugar', 'butter', 'bread', 'whipped_cream', 'margarine', 'bean']"
Ube Cake,['Philippines'],"['vanilla', 'condensed_milk', 'milk', 'cream', 'flour', 'coconut', 'sugar', 'coloring', 'butter', 'vanilla_extract', 'coconut_milk', 'purple_food_coloring', 'ube', 'cream_of_tartar', 'baking_powder', 'egg']"
Bagoong,['Philippines'],"['chili_pepper', 'fish', 'small_fish', 'garlic', 'sugar', 'salt', 'shrimp', 'pepper', 'chili']"
Battenberg Cake,['United Kingdom'],"['marzipan', 'flour', 'strawberry', 'almond', 'sugar', 'jam', 'butter', 'almond_extract', 'strawberry_jam', 'baking_powder', 'egg']"
Pizza al molde,['Argentina'],"['yeast', 'mozzarella_cheese', 'tomato_sauce', 'cheese', 'ham', 'flour', 'oregano', 'onion', 'olive_oil', 'sugar', 'bell_pepper', 'salt', 'tomato', 'pepper', 'mozzarella', 'olive', 'oil', 'water']"
Bocadillo,['Spain'],"['baguette', 'variou_filling_in_a_baguette_like_roll', 'seafood', 'egg', 'meat']"
Smalahove,['Norway'],"['black_pepper', 'sheep_head', 'potato', 'salt', 'pepper', 'mashed_rutabaga', 'water']"
Imqaret,['Malta'],"['vanilla', 'cinnamon', 'flour', 'date', 'orange', 'lemon', 'sugar', 'aniseed', 'butter', 'vanilla_extract', 'lemon_zest', 'brandy', 'clove', 'water', 'orange_zest']"
Quindim,['Brazil'],"['vanilla', 'coconut', 'lemon', 'egg_yolk', 'sugar', 'vanilla_extract', 'butter', 'lemon_zest', 'egg']"
Gelbwurst,['Germany'],"['saffron', 'lemon_powder', 'white_pepper', 'mace', 'lemon', 'cardamom', 'veal', 'fat', 'ginger', 'salt', 'coriander', 'pepper', 'pork', 'pork_fat', 'ice', 'beef']"
Nilagang Saging,['Philippines'],"['boiled_saba_banana', 'banana']"
Afang Soup,['Nigeria'],"['seasoning_cube', 'smoked_fish', 'onion', 'crayfish', 'waterleaf', 'palm_oil', 'seasoning', 'periwinkle', 'dried_fish', 'kpomo', 'fish', 'stock', 'stock_fish', 'okazi_leaf', 'meat', 'snail', 'assorted_meat', 'hot_pepper', 'salt', 'pepper', 'oil']"
Bile Up,['Belize'],"['fish', 'tomato_sauce', 'milk', 'plantain', 'cassava', 'coconut', 'onion', 'okra', 'sweet_potato', 'potato', 'pig_tail', 'bell_pepper', 'tomato', 'coconut_milk', 'pepper', 'dumpling']"
Bourek Annabi,"['Algeria', 'Tunisia']","['lemon_wedge', 'onion', 'garlic', 'potato', 'cumin', 'ground_meat', 'lamb', 'parsley', 'olive', 'cheese', 'egg', 'meat', 'lemon', 'olive_oil', 'salt', 'pepper', 'phyllo_dough', 'oil', 'beef']"
Dolma,"['Egypt', 'Iran', 'Iraq', 'Libya', 'Turkey']","['rolled_grape', 'other_leaf_around_the_variou_filling', 'cabbage']"
"Stoofvlees, Carbonade Flamande","['Belgium', 'France']","['brown_sugar', 'flour', 'onion', 'garlic', 'butter', 'broth', 'sugar', 'mustard', 'vinegar', 'dark_beer', 'beef_broth', 'bacon', 'leek', 'worcestershire_sauce', 'beer', 'bay_leaf', 'carrot', 'thyme', 'salt', 'pepper', 'beef']"
