dish_name,countries_of_origin,ingredients
Bánh Bò,['Vietnam'],"['coconut_milk', 'sugar', 'rice_flour', 'coconut', 'tapioca_flour', 'rice', 'yeast', 'flour', 'milk']"
Khash,"['Oman', 'Armenia', 'Greece', 'Georgia', 'Bulgaria', 'Bahrain', 'Mongolia', 'Palestine', 'Qatar', 'Azerbaijan', 'Bosnia and Herzegovina', 'Afghanistan', 'United Arab Emirates', 'Iraq', 'Israel', 'North Macedonia', 'Albania', 'Iran', 'Turkey', 'Kuwait', 'Saudi Arabia']","['pepper', 'turmeric', 'onion', 'water', 'black_pepper', 'cow_stomach', 'garlic', 'cow_head', 'cow_foot', 'salt']"
Joffre Cake,['Romania'],"['cream', 'gelatin', 'vanilla', 'sugar', 'egg', 'cocoa_powder', 'water', 'heavy_cream', 'milk', 'coffee', 'chocolate', 'rum', 'butter', 'flour', 'vanilla_extract', 'baking_powder', 'nut']"
Mie Ayam,['Indonesia'],"['green_onion', 'pepper', 'sambal', 'oil', 'onion', 'fried_shallot', 'sesame_oil', 'broth', 'oyster_sauce', 'chicken_broth', 'bok_choy', 'noodle', 'garlic', 'soy_sauce', 'mushroom', 'shallot', 'salt', 'chicken']"
Yakisoba-pan,['Japan'],"['yakisoba_noodle', 'bun', 'noodle', 'hot_dog_bun']"
Ryynimakkara,['Finland'],"['pork_blood', 'pepper', 'onion', 'black_pepper', 'allspice', 'garlic', 'barley_groat', 'pork', 'barley', 'salt', 'marjoram']"
Kalehjoosh,"['Kyrgyzstan', 'Armenia', 'Uzbekistan', 'Azerbaijan', 'Tajikistan', 'Kazakhstan', 'Iran', 'Turkmenistan', 'Turkey']","['walnut', 'pepper', 'mint', 'turmeric', 'oil', 'onion', 'water', 'herb', 'garlic', 'kashk', 'dried_herb', 'bread', 'butter', 'salt']"
Kalari Cheese,['India'],"['lime', 'cow', 'water', 'lime_juice', 'goat', 'goat_milk', 'vinegar', 'salt', 'milk']"
Cola De Mono,['Chile'],"['condensed_milk', 'vanilla', 'sugar', 'evaporated_milk', 'coffee', 'cinnamon', 'nutmeg', 'aguardiente', 'clove', 'milk']"
Hodu-gwaja,['South Korea'],"['walnut', 'wheat', 'vanilla_extract', 'sugar', 'egg', 'vanilla', 'baking_powder', 'wheat_flour', 'red_bean_paste', 'flour', 'bean', 'salt', 'milk']"
Tahdig,['Iran'],"['potato', 'yogurt', 'oil', 'saffron', 'rice', 'salt']"
Mealie Bread,"['Eswatini', 'South Africa']","['cream', 'vegetable_oil', 'cream_style_corn', 'sugar', 'egg', 'oil', 'water', 'milk', 'corn', 'vegetable', 'butter', 'flour', 'maize_meal', 'salt', 'baking_powder']"
Babka,"['Poland', 'Israel', 'Ukraine']","['butter', 'sugar', 'egg', 'chocolate', 'yeast', 'flour', 'salt', 'milk', 'nut']"
Fruktsoppa,"['Sweden', 'Norway']","['dried_fruit', 'lemon', 'berry', 'apple', 'sugar', 'water', 'fruit', 'cinnamon', 'tapioca', 'lemon_juice', 'cardamom', 'apple_juice', 'raisin']"
Mechouia Salad,['Tunisia'],"['bell_pepper', 'lemon', 'pepper', 'caraway_seed', 'oil', 'egg', 'onion', 'garlic', 'olive', 'chili_pepper', 'lemon_juice', 'olive_oil', 'tomato', 'tuna', 'chili', 'caper']"
Babi Hong,['Indonesia'],"['spice', 'five_spice_powder', 'sugar', 'kecap_mani', 'pork_belly', 'oyster_sauce', 'kecap_jamur', 'three_type_of_soy_sauce_regular_soy_sauce', 'garlic', 'star_anise', 'pork', 'ginger', 'mushroom', 'shaoxing_wine', 'wine']"
Qingtuan,['China'],"['wheat', 'starch', 'wheat_starch', 'jujube_paste', 'mugwort', 'red_bean_paste_sesame_paste', 'bean', 'meat', 'glutinou_rice_flour', 'rice', 'flour', 'dried_meat', 'barley', 'barley_gras_juice']"
Baghaar-e-baingan,['India'],"['oil', 'cumin_seed', 'garlic', 'salt', 'cilantro', 'mustard_seed', 'red_chili_powder', 'curry_leaf', 'tamarind', 'peanut', 'sesame_seed', 'eggplant', 'mustard', 'coriander_powder', 'turmeric', 'desiccated_coconut', 'onion', 'coriander', 'jaggery', 'ginger', 'dry_red_chili', 'coconut', 'cumin', 'turmeric_powder', 'chili']"
Picarón,"['Peru', 'Chile']","['potato', 'sweet_potato', 'syrup', 'sugar', 'oil', 'egg', 'honey', 'pumpkin', 'aniseed', 'cinnamon', 'yeast', 'clove', 'flour']"
Pan De Queso,['Colombia'],"['starch', 'sugar', 'egg', 'milk', 'tapioca_starch', 'cheese', 'butter', 'salt', 'baking_powder']"
Tocană,['Romania'],"['bell_pepper', 'pepper', 'onion', 'garlic', 'pork', 'tomato', 'salt', 'paprika']"
Croissant,"['Austria', 'France']","['dough', 'butter']"
Torta de Vino,['Colombia'],"['sugar', 'egg', 'clove', 'ground_nutmeg', 'syrup', 'ground_clove', 'ground_cinnamon', 'cinnamon', 'candied_fruit', 'wine', 'butter', 'burnt_sugar_syrup', 'walnut', 'vanilla', 'brewed_coffee', 'molass', 'prune', 'coffee', 'rum', 'almond', 'nutmeg', 'flour', 'vanilla_extract', 'raisin', 'baking_powder', 'fruit', 'sweet_red_wine', 'all_purpose_flour']"
Berner Platte,['Switzerland'],"['juniper_berry', 'garlic', 'beef', 'clove', 'ham', 'pork', 'bacon', 'pickle', 'bean', 'smoked_bacon', 'carrot', 'sauerkraut', 'bay_leaf', 'leek', 'green_bean', 'potato', 'mustard', 'onion', 'pork_belly', 'dried_bean', 'sausage']"
Qarymutah,['Syria'],"['bulgur', 'lemon', 'parsley', 'mint', 'onion', 'sumac', 'cucumber', 'lemon_juice', 'tomato']"
Semur,['Indonesia'],"['lemon', 'sugar', 'kecap_mani', 'garlic', 'beef', 'clove', 'salt', 'cinnamon', 'coconut_sugar', 'star_anise', 'soy_sauce', 'nutmeg', 'shallot', 'bay_leaf', 'sweet_soy_sauce', 'lemon_gras', 'pepper', 'water', 'coconut']"
Ayam Kecap,['Indonesia'],"['lemon', 'lime', 'oil', 'garlic', 'tomato', 'salt', 'lime_leaf', 'honey', 'cinnamon', 'scallion', 'cinnamon_stick', 'cooking_oil', 'carrot', 'soy_sauce', 'nutmeg', 'shallot', 'sweet_soy_sauce', 'lemon_gras', 'potato', 'pepper', 'coriander', 'water', 'oyster_sauce', 'ginger', 'chili', 'chicken']"
So-tteok-so-tteok,['South Korea'],"['green_onion', 'sugar', 'oil', 'onion', 'sausage', 'sesame_oil', 'gochujang', 'honey', 'garlic', 'soy_sauce', 'rice', 'ketchup', 'rice_cake', 'sesame_seed']"
Bionico,['Mexico'],"['granola', 'yogurt', 'apple', 'milk', 'honey', 'sweetened_condensed_milk', 'banana', 'coconut_flake', 'cantaloupe', 'coconut', 'pecan', 'papaya', 'raisin', 'strawberry']"
Doughnut,['United States'],['fried_dough']
Mote De Queso,['Colombia'],"['lime', 'coconut_milk', 'tortilla', 'onion', 'yam', 'water', 'lime_juice', 'corn', 'cheese', 'garlic', 'corn_tortilla', 'coconut', 'cumin', 'butter', 'tomato', 'cilantro', 'milk']"
Dabeli,['India'],"['potato', 'bun', 'sev', 'dabeli_masala', 'tamarind_chutney', 'coriander', 'garlic_chutney', 'roasted_peanut', 'garlic', 'pav_bun', 'butter', 'fresh_coriander_leaf', 'tamarind', 'pomgranate_seed', 'peanut']"
Sándwich de bondiola,"['Brazil', 'Uruguay', 'Argentina']","['hot_sauce', 'mustard', 'lettuce', 'bun', 'onion', 'bondiola', 'sandwich_bun', 'cheese', 'pickle', 'avocado', 'mayonnaise', 'chimichurri', 'tomato']"
Suikerboon,"['Belgium', 'Netherlands', 'France']","['starch', 'food_coloring', 'corn_starch', 'gelatin', 'sugar', 'water', 'corn', 'almond']"
Halal Snack Pack,['Australia'],"['doner_kebab_meat', 'tabbouleh', 'meat', 'hummu', 'cheese', 'garlic', 'garlic_sauce', 'barbecue_sauce', 'chili_sauce', 'chili', 'hot_chip']"
Jhunka,['India'],"['asafoetida', 'lime', 'chickpea', 'oil', 'cumin_seed', 'garlic', 'tomato', 'salt', 'mustard_seed', 'green_chili', 'lime_juice', 'red_chili_powder', 'curry_leaf', 'coriander_leaf', 'flour', 'mustard', 'turmeric', 'onion', 'coriander', 'water', 'chickpea_flour', 'ginger', 'cumin', 'turmeric_powder', 'chili']"
Sukiyaki,['Japan'],"['mirin', 'sugar', 'egg', 'noodle', 'mushroom', 'beef', 'sake', 'shirataki_noodle', 'shiitake_mushroom', 'tofu', 'chinese_cabbage', 'udon_noodle', 'green_onion', 'enoki_mushroom', 'raw_egg', 'soy_sauce', 'thinly_sliced_beef', 'onion', 'cabbage']"
Pie Floater,['Australia'],"['pie', 'pea', 'mint', 'tomato_sauce', 'vinegar', 'mint_sauce', 'tomato', 'pea_soup']"
Japanese Slipper,['Australia'],"['maraschino_cherry', 'cherry', 'lemon', 'lemon_wheel', 'orange_liqueur', 'lemon_juice', 'melon_liqueur', 'orange']"
Trenton Tomato Pie,['United States'],"['pepper', 'oil', 'pizza_dough', 'parmesan_cheese', 'basil', 'garlic', 'olive', 'cheese', 'oregano', 'red_pepper_flake', 'mozzarella_cheese', 'olive_oil', 'tomato', 'anchovy']"
Insalata Di Riso,['Italy'],"['cherry', 'lemon', 'artichoke', 'oil', 'egg', 'black_olive', 'cherry_tomato', 'olive_oil', 'tomato', 'ham', 'salt', 'caper', 'pea', 'corn', 'cucumber', 'pickle', 'vinegar', 'tuna', 'bean', 'bell_pepper', 'parsley', 'carrot', 'basil', 'cheese', 'olive', 'rice', 'green_bean', 'pepper', 'onion', 'black_pepper']"
Chargha,['Pakistan'],"['lemon', 'oil', 'garlic', 'salt', 'yogurt', 'cumin_powder', 'garam_masala', 'saffron', 'red_chili_powder', 'garlic_paste', 'food_coloring', 'ginger_paste', 'coriander_powder', 'pepper', 'turmeric', 'chaat_masala', 'coriander', 'black_pepper', 'ginger', 'cumin', 'lemon_juice', 'turmeric_powder', 'chili', 'chicken']"
Kuih Kosui,"['Indonesia', 'Malaysia', 'Singapore']","['sugar', 'water', 'grated_coconut', 'rice_flour', 'brown_sugar', 'tapioca_flour', 'coconut', 'pandan_juice', 'rice', 'flour']"
Mofongo,"['Puerto Rico', 'Dominican Republic']","['plantain', 'crab', 'oil', 'shrimp', 'broth', 'chicken_broth', 'meat', 'salt', 'garlic', 'olive', 'crab_meat', 'pork', 'pork_crackling', 'olive_oil', 'green_plantain', 'chicken']"
Wat,"['Eritrea', 'Ethiopia']","['pepper', 'spice', 'vegetable_oil', 'oil', 'onion', 'berbere_spice', 'meat', 'garlic', 'vegetable', 'lentil', 'ginger', 'beef', 'sometime_lentil', 'tomato', 'salt', 'chicken']"
Sabich,['Israel'],"['eggplant', 'potato', 'hot_sauce', 'parsley', 'egg', 'onion', 'hummu', 'amba', 'pita_bread', 'tahini', 'pickle', 'bread', 'salad']"
Kabab Koobideh,['Iran'],"['parsley', 'pepper', 'turmeric', 'onion', 'black_pepper', 'sumac', 'garlic', 'ground_beef', 'saffron', 'beef', 'ground_lamb', 'salt', 'lamb']"
Tortang Talong,['Philippines'],"['eggplant', 'pepper', 'oil', 'egg', 'garlic', 'salt']"
Acıbadem Kurabiyesi,['Turkey'],"['lemon', 'vanilla', 'egg', 'sugar', 'lemon_zest', 'almond', 'egg_white']"
Chivito,['Uruguay'],"['lettuce', 'egg', 'garlic', 'mushroom', 'beef', 'bread', 'tomato', 'ham', 'pea', 'beef_steak', 'bacon', 'pickle', 'mozzarella_cheese', 'mayonnaise', 'olive', 'cheese', 'green_pea', 'pepper', 'onion', 'red_pepper']"
Steak And Eggs,"['Australia', 'United States', 'Canada']","['potato', 'pepper', 'egg', 'oil', 'onion', 'black_pepper', 'beef_steak', 'salt', 'garlic', 'toast', 'mushroom', 'beef', 'butter', 'herb']"
Judd Mat Gaardebounen,['Luxembourg'],"['potato', 'cream', 'parsley', 'mustard', 'onion', 'savory', 'bacon', 'pork', 'smoked_collar_of_pork', 'bean', 'broad_bean']"
Conch Fritter,['Bahamas'],"['hot_sauce', 'bell_pepper', 'celery', 'pepper', 'vegetable_oil', 'oil', 'egg', 'onion', 'milk', 'conch', 'garlic', 'vegetable', 'flour', 'salt', 'baking_powder']"
Oscypek,['Poland'],"['rennet', 'sheep_milk', 'salt', 'milk']"
Puto Bumbong,['Philippines'],"['glutinou_rice', 'condensed_milk', 'margarine', 'sugar', 'purple_food_coloring', 'brown_sugar', 'cheese', 'banana', 'coconut', 'rice', 'butter', 'grated_cheese', 'banana_leaf', 'milk']"
Mianwo,['China'],"['green_onion', 'sugar', 'oil', 'onion', 'water', 'bean', 'salt', 'rice_flour', 'mung_bean_flour', 'rice', 'yeast', 'flour', 'sesame_seed', 'baking_powder']"
Oyster Stew,['United States'],"['pepper', 'onion', 'oyster', 'butter', 'flour', 'salt', 'milk']"
Chả Giò,['Vietnam'],"['lettuce', 'ground_pork', 'sugar', 'oil', 'garlic', 'mushroom', 'herb', 'pork', 'fish', 'rice_vermicelli', 'green_onion', 'wood_ear_mushroom', 'vegetable_oil', 'shrimp', 'carrot', 'jicama', 'rice', 'rice_paper', 'fish_sauce', 'pepper', 'onion', 'vegetable']"
Hornazo,['Spain'],"['butter', 'oil', 'egg', 'water', 'white_wine', 'wine', 'paprika', 'olive', 'pork', 'yeast', 'hard_boiled_egg', 'flour', 'lard', 'ham', 'olive_oil', 'salt', 'chorizo', 'pork_loin']"
Num Pang,['Cambodia'],"['lemon', 'pickled_carrot', 'sugar', 'garlic', 'cilantro', 'pickled_daikon', 'pate', 'cucumber', 'pork', 'mayonnaise', 'fish', 'baguette', 'carrot', 'soy_sauce', 'daikon', 'fish_sauce', 'lemon_gras', 'chili_sauce', 'chili']"
Cachupa,['Cape Verde'],"['potato', 'sweet_potato', 'cassava', 'onion', 'bean', 'corn', 'pumpkin', 'cabbage', 'garlic', 'pork', 'tomato', 'sausage']"
Guthuk,['China'],"['mustard', 'green_onion', 'mustard_seed', 'oil', 'onion', 'water', 'baking_soda', 'garlic', 'cheese', 'ginger', 'beef', 'flour', 'chili', 'sausage', 'dried_cheese_curd', 'radish']"
Chunlā,['Nepal'],"['lemon', 'oil', 'garlic', 'salt', 'green_chili', 'cumin_powder', 'meat', 'mustard_oil', 'red_chili_powder', 'buffalo_meat', 'fennel_seed', 'sichuan_pepper', 'fennel', 'mustard', 'coriander_powder', 'pepper', 'turmeric', 'coriander', 'ginger', 'cumin', 'lemon_juice', 'chili']"
Douzhi,['China'],"['mustard', 'oil', 'preserved_mustard_green', 'water', 'chili_oil', 'bean', 'chili', 'fermented_bean_curd', 'mung_bean']"
Cretons,['Canada'],"['parsley', 'onion', 'savory', 'cinnamon', 'pork', 'bread', 'clove', 'bread_crumb', 'milk']"
Prinskorv,['Sweden'],"['starch', 'sugar', 'beef', 'potato_starch', 'salt', 'milk_powder', 'bacon', 'pork', 'white_pepper', 'preservative', 'milk', 'natural_casing', 'allspice', 'nutmeg', 'potato', 'pepper', 'onion', 'ginger', 'cardamom']"
10 Won Bread,['South Korea'],"['butter', 'sugar', 'egg', 'water', 'salt', 'yeast', 'flour', 'sesame_seed', 'milk']"
Sushi,['Japan'],"['variou_fish', 'seafood', 'egg', 'vinegared_rice', 'seaweed', 'nori', 'rice', 'fish']"
Gaisburger Marsch,['Germany'],"['potato', 'pepper', 'onion', 'broth', 'beef', 'vinegar', 'spaetzle', 'salt']"
Siş köfte,['Turkey'],"['parsley', 'pepper', 'mint', 'oil', 'onion', 'paprika', 'black_pepper', 'sumac', 'garlic', 'olive', 'ground_beef', 'red_pepper_flake', 'cumin', 'beef', 'olive_oil', 'ground_lamb', 'salt', 'lamb']"
Tteokguk,"['North Korea', 'South Korea']","['green_onion', 'kimchi', 'oil', 'egg', 'sliced_beef', 'sesame_oil', 'mandu', 'onion', 'broth', 'seaweed', 'garlic', 'soy_sauce', 'beef', 'rice', 'beef_broth', 'rice_cake']"
Farsu Magru,['Italy'],"['oil', 'egg', 'garlic', 'beef', 'bread', 'olive_oil', 'pancetta', 'tomato', 'ham', 'red_wine', 'salt', 'white_wine', 'chicken_broth', 'tomato_paste', 'wine', 'pignoli_nut', 'parsley', 'carrot', 'cheese', 'olive', 'caciocavallo_cheese', 'hard_boiled_egg', 'bay_leaf', 'raisin', 'celery', 'pepper', 'onion', 'broth', 'parmesan_cheese', 'bread_crumb', 'chicken', 'nut']"
Twelve Grapes,['Spain'],['12_grape']
Kutya,"['Belarus', 'Poland', 'Lithuania', 'Russia', 'Ukraine']","['dried_fruit', 'wheat_berry', 'cream', 'wheat', 'sugar', 'poppy_seed', 'water', 'fruit', 'honey', 'raisin', 'milk', 'nut']"
Ogura Toast,['Japan'],"['margarine', 'condensed_milk', 'cream', 'whipped_cream', 'sugar', 'bread', 'butter', 'red_bean_paste', 'bean', 'milk']"
Ube Cake,['Philippines'],"['cream_of_tartar', 'cream', 'condensed_milk', 'coconut_milk', 'sugar', 'egg', 'vanilla', 'milk', 'purple_food_coloring', 'ube', 'coconut', 'butter', 'flour', 'vanilla_extract', 'baking_powder']"
Bagoong,['Philippines'],"['pepper', 'small_fish', 'sugar', 'shrimp', 'garlic', 'chili_pepper', 'fish', 'chili', 'salt']"
Battenberg Cake,['United Kingdom'],"['sugar', 'egg', 'marzipan', 'almond_extract', 'almond', 'butter', 'flour', 'strawberry_jam', 'jam', 'baking_powder']"
Pizza al molde,['Argentina'],"['bell_pepper', 'pepper', 'sugar', 'oil', 'tomato', 'tomato_sauce', 'onion', 'water', 'olive', 'cheese', 'oregano', 'yeast', 'mozzarella_cheese', 'olive_oil', 'flour', 'ham', 'salt']"
Bocadillo,['Spain'],"['variou_filling_in_a_baguette_like_roll', 'meat', 'seafood', 'egg']"
Smalahove,['Norway'],"['potato', 'pepper', 'water', 'mashed_rutabaga', 'black_pepper', 'sheep_head', 'salt']"
Imqaret,['Malta'],"['orange_zest', 'lemon', 'vanilla', 'sugar', 'date', 'water', 'brandy', 'lemon_zest', 'aniseed', 'cinnamon', 'butter', 'clove', 'flour', 'vanilla_extract', 'orange']"
Quindim,['Brazil'],"['lemon', 'vanilla', 'sugar', 'egg', 'lemon_zest', 'egg_yolk', 'coconut', 'butter', 'vanilla_extract']"
Gelbwurst,['Germany'],"['ice', 'lemon_powder', 'lemon', 'pepper', 'coriander', 'pork_fat', 'mace', 'pork', 'ginger', 'saffron', 'beef', 'white_pepper', 'veal', 'cardamom', 'salt']"
Nilagang Saging,['Philippines'],"['banana', 'boiled_saba_banana']"
Afang Soup,['Nigeria'],"['oil', 'waterleaf', 'salt', 'okazi_leaf', 'meat', 'snail', 'stock_fish', 'hot_pepper', 'smoked_fish', 'fish', 'palm_oil', 'dried_fish', 'assorted_meat', 'seasoning_cube', 'crayfish', 'periwinkle', 'stock', 'pepper', 'onion', 'kpomo']"
Bile Up,['Belize'],"['bell_pepper', 'plantain', 'potato', 'coconut_milk', 'sweet_potato', 'pepper', 'cassava', 'tomato_sauce', 'onion', 'dumpling', 'pig_tail', 'okra', 'coconut', 'fish', 'tomato', 'milk']"
Bourek Annabi,"['Algeria', 'Tunisia']","['lemon', 'oil', 'egg', 'garlic', 'beef', 'olive_oil', 'salt', 'meat', 'lemon_wedge', 'ground_meat', 'parsley', 'phyllo_dough', 'cheese', 'olive', 'potato', 'pepper', 'onion', 'cumin', 'lamb']"
Dolma,"['Egypt', 'Iran', 'Iraq', 'Libya', 'Turkey']","['other_leaf_around_the_variou_filling', 'cabbage', 'rolled_grape']"
"Stoofvlees, Carbonade Flamande","['Belgium', 'France']","['sugar', 'brown_sugar', 'garlic', 'beef', 'salt', 'bacon', 'butter', 'vinegar', 'worcestershire_sauce', 'thyme', 'carrot', 'beer', 'dark_beer', 'leek', 'bay_leaf', 'flour', 'mustard', 'pepper', 'onion', 'broth', 'beef_broth']"
Glamorgan Sausage,['United Kingdom'],"['mustard', 'bread_crumb', 'pepper', 'egg', 'onion', 'herb', 'cheese', 'bread', 'butter', 'leek', 'flour', 'salt', 'milk']"
Portable Soup,['United Kingdom'],"['water', 'bone', 'vegetable', 'beef', 'salt']"
Tsampa,"['Bhutan', 'Mongolia', 'China']","['sugar', 'water', 'barley_flour', 'tea', 'butter', 'flour', 'barley', 'salt', 'milk']"
